id,project,input_url,github_repo,repo_url,match_source,match_confidence,stars,forks,latest_commit_main_branch_utc,contributor_diversity
6842,Guepard,www.guepard.run,Guepard-Corp/Guepard,https://github.com/Guepard-Corp/Guepard,search_affinity,0.84,5,0,2025-03-22T19:23:02Z,Primarily maintained by core/org team
7205,ControlMonkey,www.controlmonkey.io,,,unresolved,0.0,,,,No clear OSS repo found
5630,Radium,www.radium.cloud,,,unresolved,0.0,,,,No clear OSS repo found
5689,Lumeus,www.lumeus.ai,,,unresolved,0.0,,,,No clear OSS repo found
7146,Plural,www.plural.sh,pluralai/open-plural,https://github.com/pluralai/open-plural,domain_org_match,0.95,0,0,2020-01-16T16:27:52Z,Primarily maintained by core/org team
7174,Early AI,www.startearly.ai,,,unresolved,0.0,,,,No clear OSS repo found
7395,digger.dev,https://digger.dev/,diggerhq/digger,https://github.com/diggerhq/digger,manual,0.99,4855,573,2026-02-07T16:15:17Z,Significant external contributor community
6169,Comp AI,www.trycomp.ai,trycompai/comp,https://github.com/trycompai/comp,manual,0.99,1385,250,2026-02-19T04:39:55Z,Significant external contributor community (multiple companies visible)
7183,Conexus,www.conexus.com,,,no_repo,0.0,,,,No clear OSS repo found
7499,ConfigCat,configcat.com,configcat/common,,manual,0.99,,,,Repo lookup failed
7596,Lunar.dev,www.lunar.dev,TheLunarCompany/lunar,https://github.com/TheLunarCompany/lunar,search_affinity,0.84,398,24,2026-02-18T14:22:43Z,"Mostly core-team maintained, some external contributions"
7604,Zuplo,https://zuplo.com/,zuplo/zuplo,https://github.com/zuplo/zuplo,domain_org_match,0.95,38,6,2026-02-17T13:28:50Z,Mixed maintainership with external contributors (multiple companies visible)
4439,Overmind,overmind.tech,,,no_repo,0.0,,,,No clear OSS repo found
4520,quiltt,https://www.quiltt.io/,,,no_repo,0.0,,,,No clear OSS repo found
4642,SuperTokens,https://supertokens.com,supertokens/supertokens-core,https://github.com/supertokens/supertokens-core,manual,0.99,14921,639,2026-02-13T16:19:36Z,Mixed maintainership with external contributors (multiple companies visible)
5679,Thoras AI,thoras.ai,,,no_repo,0.0,,,,No clear OSS repo found
5687,OpsCanvas,www.opscanvas.com,,,no_repo,0.0,,,,No clear OSS repo found
7165,Serverpod,www.serverpod.dev,serverpod/serverpod,https://github.com/serverpod/serverpod,manual,0.99,3095,332,2026-02-18T19:58:10Z,Mixed maintainership with external contributors
7231,Pull Systems,www.pull.systems,,,no_repo,0.0,,,,No clear OSS repo found
7232,Qencode,www.cloud.qencode.com,,,unresolved,0.0,,,,No clear OSS repo found
3803,Aspect Build (Bazel),https://aspect.build/,aspect-build/aspect-cli,https://github.com/aspect-build/aspect-cli,manual,0.99,148,39,2026-02-16T04:21:49Z,Primarily maintained by core/org team
4213,Juice Labs,juicelabs.co,Juice-Labs/Juice-Labs,https://github.com/Juice-Labs/Juice-Labs,manual,0.99,631,62,2025-05-01T01:30:32Z,"Mostly core-team maintained, some external contributions"
5602,Cloudoor,www.cloudoor.com,CLOUDoort/CLOUDoort,https://github.com/CLOUDoort/CLOUDoort,search_affinity,0.84,0,0,2023-02-28T15:31:57Z,Primarily maintained by core/org team
5618,Callback Technologies,www.callback.com,,,unresolved,0.0,,,,No clear OSS repo found
5642,Packmind (ProMyze),www.packmind.com,PackmindHub/packmind,https://github.com/PackmindHub/packmind,search_affinity,0.84,197,7,2026-02-19T09:36:20Z,Mixed maintainership with external contributors
